Name,Current Year,Expenses,Expenses Label,Income,Income Label,Month Number,Net,Net Label,Transaction
January,2026,$0.00,Expenses,$0.00,Income,1,$0.00,Net,"Salary (Finance%20Tracker/Databases/Transactions/Salary%20a5d8f5191d5a83759f5f810e6d60278a.html), Salary (Finance%20Tracker/Databases/Transactions/Salary%2040f8f5191d5a82f1ba1901e9195ab65d.html), Bonus (Finance%20Tracker/Databases/Transactions/Bonus%208e78f5191d5a833e8b3281fccd26bf5c.html), Rent (Finance%20Tracker/Databases/Transactions/Rent%207fb8f5191d5a82c0870581dc5fe6e524.html), Rent (Finance%20Tracker/Databases/Transactions/Rent%206f68f5191d5a833da5d50133738539e7.html), Rent (Finance%20Tracker/Databases/Transactions/Rent%205618f5191d5a831db188018dd8bd8609.html), Netflix (Finance%20Tracker/Databases/Transactions/Netflix%20a358f5191d5a82ffb7de81f62e73813a.html), Salary (Finance%20Tracker/Databases/Transactions/Salary%202088f5191d5a8393b91481007990145b.html), Netflix (Finance%20Tracker/Databases/Transactions/Netflix%207668f5191d5a820d8146813f341b15dc.html), Netflix (Finance%20Tracker/Databases/Transactions/Netflix%20cd78f5191d5a834d8725017f3ee21fa0.html), Rent (Finance%20Tracker/Databases/Transactions/Rent%200768f5191d5a83aca1f38109098ada00.html), Salary (Finance%20Tracker/Databases/Transactions/Salary%200978f5191d5a8290a92e813511e1c9c7.html), New Income (Finance%20Tracker/Databases/Transactions/New%20Income%204568f5191d5a8346ab6a81b0fce6f7a2.html)"
February,2026,$0.00,Expenses,$0.00,Income,2,$0.00,Net,"Salary (Finance%20Tracker/Databases/Transactions/Salary%20a5d8f5191d5a83759f5f810e6d60278a.html), Salary (Finance%20Tracker/Databases/Transactions/Salary%2040f8f5191d5a82f1ba1901e9195ab65d.html), Bonus (Finance%20Tracker/Databases/Transactions/Bonus%208e78f5191d5a833e8b3281fccd26bf5c.html), Rent (Finance%20Tracker/Databases/Transactions/Rent%207fb8f5191d5a82c0870581dc5fe6e524.html), Rent (Finance%20Tracker/Databases/Transactions/Rent%206f68f5191d5a833da5d50133738539e7.html), Rent (Finance%20Tracker/Databases/Transactions/Rent%205618f5191d5a831db188018dd8bd8609.html), Netflix (Finance%20Tracker/Databases/Transactions/Netflix%20a358f5191d5a82ffb7de81f62e73813a.html), Salary (Finance%20Tracker/Databases/Transactions/Salary%202088f5191d5a8393b91481007990145b.html), Netflix (Finance%20Tracker/Databases/Transactions/Netflix%207668f5191d5a820d8146813f341b15dc.html), Netflix (Finance%20Tracker/Databases/Transactions/Netflix%20cd78f5191d5a834d8725017f3ee21fa0.html), Rent (Finance%20Tracker/Databases/Transactions/Rent%200768f5191d5a83aca1f38109098ada00.html), Salary (Finance%20Tracker/Databases/Transactions/Salary%200978f5191d5a8290a92e813511e1c9c7.html), New Income (Finance%20Tracker/Databases/Transactions/New%20Income%204568f5191d5a8346ab6a81b0fce6f7a2.html)"
March,2026,$0.00,Expenses,$0.00,Income,3,$0.00,Net,"Salary (Finance%20Tracker/Databases/Transactions/Salary%20a5d8f5191d5a83759f5f810e6d60278a.html), Salary (Finance%20Tracker/Databases/Transactions/Salary%2040f8f5191d5a82f1ba1901e9195ab65d.html), Bonus (Finance%20Tracker/Databases/Transactions/Bonus%208e78f5191d5a833e8b3281fccd26bf5c.html), Rent (Finance%20Tracker/Databases/Transactions/Rent%207fb8f5191d5a82c0870581dc5fe6e524.html), Rent (Finance%20Tracker/Databases/Transactions/Rent%206f68f5191d5a833da5d50133738539e7.html), Rent (Finance%20Tracker/Databases/Transactions/Rent%205618f5191d5a831db188018dd8bd8609.html), Netflix (Finance%20Tracker/Databases/Transactions/Netflix%20a358f5191d5a82ffb7de81f62e73813a.html), Salary (Finance%20Tracker/Databases/Transactions/Salary%202088f5191d5a8393b91481007990145b.html), Netflix (Finance%20Tracker/Databases/Transactions/Netflix%207668f5191d5a820d8146813f341b15dc.html), Netflix (Finance%20Tracker/Databases/Transactions/Netflix%20cd78f5191d5a834d8725017f3ee21fa0.html), Rent (Finance%20Tracker/Databases/Transactions/Rent%200768f5191d5a83aca1f38109098ada00.html), Salary (Finance%20Tracker/Databases/Transactions/Salary%200978f5191d5a8290a92e813511e1c9c7.html), New Income (Finance%20Tracker/Databases/Transactions/New%20Income%204568f5191d5a8346ab6a81b0fce6f7a2.html)"
April,2026,$0.00,Expenses,$0.00,Income,4,$0.00,Net,"Salary (Finance%20Tracker/Databases/Transactions/Salary%20a5d8f5191d5a83759f5f810e6d60278a.html), Salary (Finance%20Tracker/Databases/Transactions/Salary%2040f8f5191d5a82f1ba1901e9195ab65d.html), Bonus (Finance%20Tracker/Databases/Transactions/Bonus%208e78f5191d5a833e8b3281fccd26bf5c.html), Rent (Finance%20Tracker/Databases/Transactions/Rent%207fb8f5191d5a82c0870581dc5fe6e524.html), Rent (Finance%20Tracker/Databases/Transactions/Rent%206f68f5191d5a833da5d50133738539e7.html), Rent (Finance%20Tracker/Databases/Transactions/Rent%205618f5191d5a831db188018dd8bd8609.html), Netflix (Finance%20Tracker/Databases/Transactions/Netflix%20a358f5191d5a82ffb7de81f62e73813a.html), Salary (Finance%20Tracker/Databases/Transactions/Salary%202088f5191d5a8393b91481007990145b.html), Netflix (Finance%20Tracker/Databases/Transactions/Netflix%207668f5191d5a820d8146813f341b15dc.html), Netflix (Finance%20Tracker/Databases/Transactions/Netflix%20cd78f5191d5a834d8725017f3ee21fa0.html), Rent (Finance%20Tracker/Databases/Transactions/Rent%200768f5191d5a83aca1f38109098ada00.html), Salary (Finance%20Tracker/Databases/Transactions/Salary%200978f5191d5a8290a92e813511e1c9c7.html), New Income (Finance%20Tracker/Databases/Transactions/New%20Income%204568f5191d5a8346ab6a81b0fce6f7a2.html)"
May,2026,$0.00,Expenses,$0.00,Income,5,$0.00,Net,"Salary (Finance%20Tracker/Databases/Transactions/Salary%20a5d8f5191d5a83759f5f810e6d60278a.html), Salary (Finance%20Tracker/Databases/Transactions/Salary%2040f8f5191d5a82f1ba1901e9195ab65d.html), Bonus (Finance%20Tracker/Databases/Transactions/Bonus%208e78f5191d5a833e8b3281fccd26bf5c.html), Rent (Finance%20Tracker/Databases/Transactions/Rent%207fb8f5191d5a82c0870581dc5fe6e524.html), Rent (Finance%20Tracker/Databases/Transactions/Rent%206f68f5191d5a833da5d50133738539e7.html), Rent (Finance%20Tracker/Databases/Transactions/Rent%205618f5191d5a831db188018dd8bd8609.html), Netflix (Finance%20Tracker/Databases/Transactions/Netflix%20a358f5191d5a82ffb7de81f62e73813a.html), Salary (Finance%20Tracker/Databases/Transactions/Salary%202088f5191d5a8393b91481007990145b.html), Netflix (Finance%20Tracker/Databases/Transactions/Netflix%207668f5191d5a820d8146813f341b15dc.html), Netflix (Finance%20Tracker/Databases/Transactions/Netflix%20cd78f5191d5a834d8725017f3ee21fa0.html), Rent (Finance%20Tracker/Databases/Transactions/Rent%200768f5191d5a83aca1f38109098ada00.html), Salary (Finance%20Tracker/Databases/Transactions/Salary%200978f5191d5a8290a92e813511e1c9c7.html), New Income (Finance%20Tracker/Databases/Transactions/New%20Income%204568f5191d5a8346ab6a81b0fce6f7a2.html)"
June,2026,$0.00,Expenses,$0.00,Income,6,$0.00,Net,"Salary (Finance%20Tracker/Databases/Transactions/Salary%20a5d8f5191d5a83759f5f810e6d60278a.html), Salary (Finance%20Tracker/Databases/Transactions/Salary%2040f8f5191d5a82f1ba1901e9195ab65d.html), Bonus (Finance%20Tracker/Databases/Transactions/Bonus%208e78f5191d5a833e8b3281fccd26bf5c.html), Rent (Finance%20Tracker/Databases/Transactions/Rent%207fb8f5191d5a82c0870581dc5fe6e524.html), Rent (Finance%20Tracker/Databases/Transactions/Rent%206f68f5191d5a833da5d50133738539e7.html), Rent (Finance%20Tracker/Databases/Transactions/Rent%205618f5191d5a831db188018dd8bd8609.html), Netflix (Finance%20Tracker/Databases/Transactions/Netflix%20a358f5191d5a82ffb7de81f62e73813a.html), Salary (Finance%20Tracker/Databases/Transactions/Salary%202088f5191d5a8393b91481007990145b.html), Netflix (Finance%20Tracker/Databases/Transactions/Netflix%207668f5191d5a820d8146813f341b15dc.html), Netflix (Finance%20Tracker/Databases/Transactions/Netflix%20cd78f5191d5a834d8725017f3ee21fa0.html), Rent (Finance%20Tracker/Databases/Transactions/Rent%200768f5191d5a83aca1f38109098ada00.html), Salary (Finance%20Tracker/Databases/Transactions/Salary%200978f5191d5a8290a92e813511e1c9c7.html), New Income (Finance%20Tracker/Databases/Transactions/New%20Income%204568f5191d5a8346ab6a81b0fce6f7a2.html)"
July,2026,$0.00,Expenses,$0.00,Income,7,$0.00,Net,"Salary (Finance%20Tracker/Databases/Transactions/Salary%20a5d8f5191d5a83759f5f810e6d60278a.html), Salary (Finance%20Tracker/Databases/Transactions/Salary%2040f8f5191d5a82f1ba1901e9195ab65d.html), Bonus (Finance%20Tracker/Databases/Transactions/Bonus%208e78f5191d5a833e8b3281fccd26bf5c.html), Rent (Finance%20Tracker/Databases/Transactions/Rent%207fb8f5191d5a82c0870581dc5fe6e524.html), Rent (Finance%20Tracker/Databases/Transactions/Rent%206f68f5191d5a833da5d50133738539e7.html), Rent (Finance%20Tracker/Databases/Transactions/Rent%205618f5191d5a831db188018dd8bd8609.html), Netflix (Finance%20Tracker/Databases/Transactions/Netflix%20a358f5191d5a82ffb7de81f62e73813a.html), Salary (Finance%20Tracker/Databases/Transactions/Salary%202088f5191d5a8393b91481007990145b.html), Netflix (Finance%20Tracker/Databases/Transactions/Netflix%207668f5191d5a820d8146813f341b15dc.html), Netflix (Finance%20Tracker/Databases/Transactions/Netflix%20cd78f5191d5a834d8725017f3ee21fa0.html), Rent (Finance%20Tracker/Databases/Transactions/Rent%200768f5191d5a83aca1f38109098ada00.html), Salary (Finance%20Tracker/Databases/Transactions/Salary%200978f5191d5a8290a92e813511e1c9c7.html), New Income (Finance%20Tracker/Databases/Transactions/New%20Income%204568f5191d5a8346ab6a81b0fce6f7a2.html)"
August,2026,$0.00,Expenses,$0.00,Income,8,$0.00,Net,"Salary (Finance%20Tracker/Databases/Transactions/Salary%20a5d8f5191d5a83759f5f810e6d60278a.html), Salary (Finance%20Tracker/Databases/Transactions/Salary%2040f8f5191d5a82f1ba1901e9195ab65d.html), Bonus (Finance%20Tracker/Databases/Transactions/Bonus%208e78f5191d5a833e8b3281fccd26bf5c.html), Rent (Finance%20Tracker/Databases/Transactions/Rent%207fb8f5191d5a82c0870581dc5fe6e524.html), Rent (Finance%20Tracker/Databases/Transactions/Rent%206f68f5191d5a833da5d50133738539e7.html), Rent (Finance%20Tracker/Databases/Transactions/Rent%205618f5191d5a831db188018dd8bd8609.html), Netflix (Finance%20Tracker/Databases/Transactions/Netflix%20a358f5191d5a82ffb7de81f62e73813a.html), Salary (Finance%20Tracker/Databases/Transactions/Salary%202088f5191d5a8393b91481007990145b.html), Netflix (Finance%20Tracker/Databases/Transactions/Netflix%207668f5191d5a820d8146813f341b15dc.html), Netflix (Finance%20Tracker/Databases/Transactions/Netflix%20cd78f5191d5a834d8725017f3ee21fa0.html), Rent (Finance%20Tracker/Databases/Transactions/Rent%200768f5191d5a83aca1f38109098ada00.html), Salary (Finance%20Tracker/Databases/Transactions/Salary%200978f5191d5a8290a92e813511e1c9c7.html), New Income (Finance%20Tracker/Databases/Transactions/New%20Income%204568f5191d5a8346ab6a81b0fce6f7a2.html)"
September,2026,$0.00,Expenses,$0.00,Income,9,$0.00,Net,"Salary (Finance%20Tracker/Databases/Transactions/Salary%20a5d8f5191d5a83759f5f810e6d60278a.html), Salary (Finance%20Tracker/Databases/Transactions/Salary%2040f8f5191d5a82f1ba1901e9195ab65d.html), Bonus (Finance%20Tracker/Databases/Transactions/Bonus%208e78f5191d5a833e8b3281fccd26bf5c.html), Rent (Finance%20Tracker/Databases/Transactions/Rent%207fb8f5191d5a82c0870581dc5fe6e524.html), Rent (Finance%20Tracker/Databases/Transactions/Rent%206f68f5191d5a833da5d50133738539e7.html), Rent (Finance%20Tracker/Databases/Transactions/Rent%205618f5191d5a831db188018dd8bd8609.html), Netflix (Finance%20Tracker/Databases/Transactions/Netflix%20a358f5191d5a82ffb7de81f62e73813a.html), Salary (Finance%20Tracker/Databases/Transactions/Salary%202088f5191d5a8393b91481007990145b.html), Netflix (Finance%20Tracker/Databases/Transactions/Netflix%207668f5191d5a820d8146813f341b15dc.html), Netflix (Finance%20Tracker/Databases/Transactions/Netflix%20cd78f5191d5a834d8725017f3ee21fa0.html), Rent (Finance%20Tracker/Databases/Transactions/Rent%200768f5191d5a83aca1f38109098ada00.html), Salary (Finance%20Tracker/Databases/Transactions/Salary%200978f5191d5a8290a92e813511e1c9c7.html), New Income (Finance%20Tracker/Databases/Transactions/New%20Income%204568f5191d5a8346ab6a81b0fce6f7a2.html)"
October,2026,$0.00,Expenses,$0.00,Income,10,$0.00,Net,"Salary (Finance%20Tracker/Databases/Transactions/Salary%20a5d8f5191d5a83759f5f810e6d60278a.html), Salary (Finance%20Tracker/Databases/Transactions/Salary%2040f8f5191d5a82f1ba1901e9195ab65d.html), Bonus (Finance%20Tracker/Databases/Transactions/Bonus%208e78f5191d5a833e8b3281fccd26bf5c.html), Rent (Finance%20Tracker/Databases/Transactions/Rent%207fb8f5191d5a82c0870581dc5fe6e524.html), Rent (Finance%20Tracker/Databases/Transactions/Rent%206f68f5191d5a833da5d50133738539e7.html), Rent (Finance%20Tracker/Databases/Transactions/Rent%205618f5191d5a831db188018dd8bd8609.html), Netflix (Finance%20Tracker/Databases/Transactions/Netflix%20a358f5191d5a82ffb7de81f62e73813a.html), Salary (Finance%20Tracker/Databases/Transactions/Salary%202088f5191d5a8393b91481007990145b.html), Netflix (Finance%20Tracker/Databases/Transactions/Netflix%207668f5191d5a820d8146813f341b15dc.html), Netflix (Finance%20Tracker/Databases/Transactions/Netflix%20cd78f5191d5a834d8725017f3ee21fa0.html), Rent (Finance%20Tracker/Databases/Transactions/Rent%200768f5191d5a83aca1f38109098ada00.html), Salary (Finance%20Tracker/Databases/Transactions/Salary%200978f5191d5a8290a92e813511e1c9c7.html), New Income (Finance%20Tracker/Databases/Transactions/New%20Income%204568f5191d5a8346ab6a81b0fce6f7a2.html)"
November,2026,$0.00,Expenses,$0.00,Income,11,$0.00,Net,"Salary (Finance%20Tracker/Databases/Transactions/Salary%20a5d8f5191d5a83759f5f810e6d60278a.html), Salary (Finance%20Tracker/Databases/Transactions/Salary%2040f8f5191d5a82f1ba1901e9195ab65d.html), Bonus (Finance%20Tracker/Databases/Transactions/Bonus%208e78f5191d5a833e8b3281fccd26bf5c.html), Rent (Finance%20Tracker/Databases/Transactions/Rent%207fb8f5191d5a82c0870581dc5fe6e524.html), Rent (Finance%20Tracker/Databases/Transactions/Rent%206f68f5191d5a833da5d50133738539e7.html), Rent (Finance%20Tracker/Databases/Transactions/Rent%205618f5191d5a831db188018dd8bd8609.html), Netflix (Finance%20Tracker/Databases/Transactions/Netflix%20a358f5191d5a82ffb7de81f62e73813a.html), Salary (Finance%20Tracker/Databases/Transactions/Salary%202088f5191d5a8393b91481007990145b.html), Netflix (Finance%20Tracker/Databases/Transactions/Netflix%207668f5191d5a820d8146813f341b15dc.html), Netflix (Finance%20Tracker/Databases/Transactions/Netflix%20cd78f5191d5a834d8725017f3ee21fa0.html), Rent (Finance%20Tracker/Databases/Transactions/Rent%200768f5191d5a83aca1f38109098ada00.html), Salary (Finance%20Tracker/Databases/Transactions/Salary%200978f5191d5a8290a92e813511e1c9c7.html), New Income (Finance%20Tracker/Databases/Transactions/New%20Income%204568f5191d5a8346ab6a81b0fce6f7a2.html)"
December,2026,$0.00,Expenses,$0.00,Income,12,$0.00,Net,"Salary (Finance%20Tracker/Databases/Transactions/Salary%20a5d8f5191d5a83759f5f810e6d60278a.html), Salary (Finance%20Tracker/Databases/Transactions/Salary%2040f8f5191d5a82f1ba1901e9195ab65d.html), Bonus (Finance%20Tracker/Databases/Transactions/Bonus%208e78f5191d5a833e8b3281fccd26bf5c.html), Rent (Finance%20Tracker/Databases/Transactions/Rent%207fb8f5191d5a82c0870581dc5fe6e524.html), Rent (Finance%20Tracker/Databases/Transactions/Rent%206f68f5191d5a833da5d50133738539e7.html), Rent (Finance%20Tracker/Databases/Transactions/Rent%205618f5191d5a831db188018dd8bd8609.html), Netflix (Finance%20Tracker/Databases/Transactions/Netflix%20a358f5191d5a82ffb7de81f62e73813a.html), Salary (Finance%20Tracker/Databases/Transactions/Salary%202088f5191d5a8393b91481007990145b.html), Netflix (Finance%20Tracker/Databases/Transactions/Netflix%207668f5191d5a820d8146813f341b15dc.html), Netflix (Finance%20Tracker/Databases/Transactions/Netflix%20cd78f5191d5a834d8725017f3ee21fa0.html), Rent (Finance%20Tracker/Databases/Transactions/Rent%200768f5191d5a83aca1f38109098ada00.html), Salary (Finance%20Tracker/Databases/Transactions/Salary%200978f5191d5a8290a92e813511e1c9c7.html), New Income (Finance%20Tracker/Databases/Transactions/New%20Income%204568f5191d5a8346ab6a81b0fce6f7a2.html)"