Name,Account,Amount,Calculated Amount,Category,Current Year?,Date,Months,Type
Rent,Bank Account (Finance%20Tracker/Databases/Accounts%20&%20Funds/Bank%20Account%20d898f5191d5a83a7b51a01733b92330f.html),"$1,500.00","-$1,500.00",Rent/Mortgage (Finance%20Tracker/Databases/Transaction%20Categories/Rent%20Mortgage%201fc8f5191d5a823c8f7b010e7c3dd97a.html),No,"January 1, 2025","February (Finance%20Tracker/Databases/Months/February%209c78f5191d5a8376ba1a8173d8b424d0.html), October (Finance%20Tracker/Databases/Months/October%2089d8f5191d5a83a681ca8173cf558207.html), March (Finance%20Tracker/Databases/Months/March%20ae58f5191d5a8227a7fa015765b3e232.html), January (Finance%20Tracker/Databases/Months/January%204978f5191d5a83d9a2b281b2e55d49bb.html), July (Finance%20Tracker/Databases/Months/July%20c2d8f5191d5a8353b707813acc1b0c2b.html), November (Finance%20Tracker/Databases/Months/November%20fbc8f5191d5a821d8adf814729dfc04f.html), April (Finance%20Tracker/Databases/Months/April%20d658f5191d5a8270ab5b81005c5d50da.html), August (Finance%20Tracker/Databases/Months/August%20ee78f5191d5a8379af15815575a81ff9.html), December (Finance%20Tracker/Databases/Months/December%20b3e8f5191d5a8357be2001a5d4ae94b2.html), September (Finance%20Tracker/Databases/Months/September%20c328f5191d5a838ba4e9819f02e13cf6.html), May (Finance%20Tracker/Databases/Months/May%208ff8f5191d5a83528280810e2ebe050d.html), June (Finance%20Tracker/Databases/Months/June%20a128f5191d5a839c8d75817450eb50e3.html)",Expense
Salary,Bank Account (Finance%20Tracker/Databases/Accounts%20&%20Funds/Bank%20Account%20d898f5191d5a83a7b51a01733b92330f.html),"$5,500.00","$5,500.00",Salary (Finance%20Tracker/Databases/Transaction%20Categories/Salary%206eb8f5191d5a83b5bca6816caecfc8fd.html),No,"January 1, 2025","February (Finance%20Tracker/Databases/Months/February%209c78f5191d5a8376ba1a8173d8b424d0.html), October (Finance%20Tracker/Databases/Months/October%2089d8f5191d5a83a681ca8173cf558207.html), March (Finance%20Tracker/Databases/Months/March%20ae58f5191d5a8227a7fa015765b3e232.html), January (Finance%20Tracker/Databases/Months/January%204978f5191d5a83d9a2b281b2e55d49bb.html), July (Finance%20Tracker/Databases/Months/July%20c2d8f5191d5a8353b707813acc1b0c2b.html), November (Finance%20Tracker/Databases/Months/November%20fbc8f5191d5a821d8adf814729dfc04f.html), April (Finance%20Tracker/Databases/Months/April%20d658f5191d5a8270ab5b81005c5d50da.html), August (Finance%20Tracker/Databases/Months/August%20ee78f5191d5a8379af15815575a81ff9.html), December (Finance%20Tracker/Databases/Months/December%20b3e8f5191d5a8357be2001a5d4ae94b2.html), September (Finance%20Tracker/Databases/Months/September%20c328f5191d5a838ba4e9819f02e13cf6.html), May (Finance%20Tracker/Databases/Months/May%208ff8f5191d5a83528280810e2ebe050d.html), June (Finance%20Tracker/Databases/Months/June%20a128f5191d5a839c8d75817450eb50e3.html)",Income
Netflix,Bank Account (Finance%20Tracker/Databases/Accounts%20&%20Funds/Bank%20Account%20d898f5191d5a83a7b51a01733b92330f.html),$12.00,-$12.00,Salary (Finance%20Tracker/Databases/Transaction%20Categories/Salary%206eb8f5191d5a83b5bca6816caecfc8fd.html),No,"December 15, 2024","February (Finance%20Tracker/Databases/Months/February%209c78f5191d5a8376ba1a8173d8b424d0.html), October (Finance%20Tracker/Databases/Months/October%2089d8f5191d5a83a681ca8173cf558207.html), March (Finance%20Tracker/Databases/Months/March%20ae58f5191d5a8227a7fa015765b3e232.html), January (Finance%20Tracker/Databases/Months/January%204978f5191d5a83d9a2b281b2e55d49bb.html), July (Finance%20Tracker/Databases/Months/July%20c2d8f5191d5a8353b707813acc1b0c2b.html), November (Finance%20Tracker/Databases/Months/November%20fbc8f5191d5a821d8adf814729dfc04f.html), April (Finance%20Tracker/Databases/Months/April%20d658f5191d5a8270ab5b81005c5d50da.html), August (Finance%20Tracker/Databases/Months/August%20ee78f5191d5a8379af15815575a81ff9.html), December (Finance%20Tracker/Databases/Months/December%20b3e8f5191d5a8357be2001a5d4ae94b2.html), September (Finance%20Tracker/Databases/Months/September%20c328f5191d5a838ba4e9819f02e13cf6.html), May (Finance%20Tracker/Databases/Months/May%208ff8f5191d5a83528280810e2ebe050d.html), June (Finance%20Tracker/Databases/Months/June%20a128f5191d5a839c8d75817450eb50e3.html)",Expense
Salary,Bank Account (Finance%20Tracker/Databases/Accounts%20&%20Funds/Bank%20Account%20d898f5191d5a83a7b51a01733b92330f.html),"$5,500.00","$5,500.00",Salary (Finance%20Tracker/Databases/Transaction%20Categories/Salary%206eb8f5191d5a83b5bca6816caecfc8fd.html),No,"February 1, 2025","February (Finance%20Tracker/Databases/Months/February%209c78f5191d5a8376ba1a8173d8b424d0.html), October (Finance%20Tracker/Databases/Months/October%2089d8f5191d5a83a681ca8173cf558207.html), March (Finance%20Tracker/Databases/Months/March%20ae58f5191d5a8227a7fa015765b3e232.html), January (Finance%20Tracker/Databases/Months/January%204978f5191d5a83d9a2b281b2e55d49bb.html), July (Finance%20Tracker/Databases/Months/July%20c2d8f5191d5a8353b707813acc1b0c2b.html), November (Finance%20Tracker/Databases/Months/November%20fbc8f5191d5a821d8adf814729dfc04f.html), April (Finance%20Tracker/Databases/Months/April%20d658f5191d5a8270ab5b81005c5d50da.html), August (Finance%20Tracker/Databases/Months/August%20ee78f5191d5a8379af15815575a81ff9.html), December (Finance%20Tracker/Databases/Months/December%20b3e8f5191d5a8357be2001a5d4ae94b2.html), September (Finance%20Tracker/Databases/Months/September%20c328f5191d5a838ba4e9819f02e13cf6.html), May (Finance%20Tracker/Databases/Months/May%208ff8f5191d5a83528280810e2ebe050d.html), June (Finance%20Tracker/Databases/Months/June%20a128f5191d5a839c8d75817450eb50e3.html)",Income
Salary,Bank Account (Finance%20Tracker/Databases/Accounts%20&%20Funds/Bank%20Account%20d898f5191d5a83a7b51a01733b92330f.html),"$5,500.00","$5,500.00",Salary (Finance%20Tracker/Databases/Transaction%20Categories/Salary%206eb8f5191d5a83b5bca6816caecfc8fd.html),No,"January 23, 2025","February (Finance%20Tracker/Databases/Months/February%209c78f5191d5a8376ba1a8173d8b424d0.html), October (Finance%20Tracker/Databases/Months/October%2089d8f5191d5a83a681ca8173cf558207.html), March (Finance%20Tracker/Databases/Months/March%20ae58f5191d5a8227a7fa015765b3e232.html), January (Finance%20Tracker/Databases/Months/January%204978f5191d5a83d9a2b281b2e55d49bb.html), July (Finance%20Tracker/Databases/Months/July%20c2d8f5191d5a8353b707813acc1b0c2b.html), November (Finance%20Tracker/Databases/Months/November%20fbc8f5191d5a821d8adf814729dfc04f.html), April (Finance%20Tracker/Databases/Months/April%20d658f5191d5a8270ab5b81005c5d50da.html), August (Finance%20Tracker/Databases/Months/August%20ee78f5191d5a8379af15815575a81ff9.html), December (Finance%20Tracker/Databases/Months/December%20b3e8f5191d5a8357be2001a5d4ae94b2.html), September (Finance%20Tracker/Databases/Months/September%20c328f5191d5a838ba4e9819f02e13cf6.html), May (Finance%20Tracker/Databases/Months/May%208ff8f5191d5a83528280810e2ebe050d.html), June (Finance%20Tracker/Databases/Months/June%20a128f5191d5a839c8d75817450eb50e3.html)",Income
Netflix,Bank Account (Finance%20Tracker/Databases/Accounts%20&%20Funds/Bank%20Account%20d898f5191d5a83a7b51a01733b92330f.html),$12.00,-$12.00,Subscriptions (Finance%20Tracker/Databases/Transaction%20Categories/Subscriptions%20e098f5191d5a8259996f01b53fbe7d47.html),No,"January 15, 2025","February (Finance%20Tracker/Databases/Months/February%209c78f5191d5a8376ba1a8173d8b424d0.html), October (Finance%20Tracker/Databases/Months/October%2089d8f5191d5a83a681ca8173cf558207.html), March (Finance%20Tracker/Databases/Months/March%20ae58f5191d5a8227a7fa015765b3e232.html), January (Finance%20Tracker/Databases/Months/January%204978f5191d5a83d9a2b281b2e55d49bb.html), July (Finance%20Tracker/Databases/Months/July%20c2d8f5191d5a8353b707813acc1b0c2b.html), November (Finance%20Tracker/Databases/Months/November%20fbc8f5191d5a821d8adf814729dfc04f.html), April (Finance%20Tracker/Databases/Months/April%20d658f5191d5a8270ab5b81005c5d50da.html), August (Finance%20Tracker/Databases/Months/August%20ee78f5191d5a8379af15815575a81ff9.html), December (Finance%20Tracker/Databases/Months/December%20b3e8f5191d5a8357be2001a5d4ae94b2.html), September (Finance%20Tracker/Databases/Months/September%20c328f5191d5a838ba4e9819f02e13cf6.html), May (Finance%20Tracker/Databases/Months/May%208ff8f5191d5a83528280810e2ebe050d.html), June (Finance%20Tracker/Databases/Months/June%20a128f5191d5a839c8d75817450eb50e3.html)",Expense
Netflix,Bank Account (Finance%20Tracker/Databases/Accounts%20&%20Funds/Bank%20Account%20d898f5191d5a83a7b51a01733b92330f.html),$12.00,-$12.00,Subscriptions (Finance%20Tracker/Databases/Transaction%20Categories/Subscriptions%20e098f5191d5a8259996f01b53fbe7d47.html),No,"November 15, 2024","February (Finance%20Tracker/Databases/Months/February%209c78f5191d5a8376ba1a8173d8b424d0.html), October (Finance%20Tracker/Databases/Months/October%2089d8f5191d5a83a681ca8173cf558207.html), March (Finance%20Tracker/Databases/Months/March%20ae58f5191d5a8227a7fa015765b3e232.html), January (Finance%20Tracker/Databases/Months/January%204978f5191d5a83d9a2b281b2e55d49bb.html), July (Finance%20Tracker/Databases/Months/July%20c2d8f5191d5a8353b707813acc1b0c2b.html), November (Finance%20Tracker/Databases/Months/November%20fbc8f5191d5a821d8adf814729dfc04f.html), April (Finance%20Tracker/Databases/Months/April%20d658f5191d5a8270ab5b81005c5d50da.html), August (Finance%20Tracker/Databases/Months/August%20ee78f5191d5a8379af15815575a81ff9.html), December (Finance%20Tracker/Databases/Months/December%20b3e8f5191d5a8357be2001a5d4ae94b2.html), September (Finance%20Tracker/Databases/Months/September%20c328f5191d5a838ba4e9819f02e13cf6.html), May (Finance%20Tracker/Databases/Months/May%208ff8f5191d5a83528280810e2ebe050d.html), June (Finance%20Tracker/Databases/Months/June%20a128f5191d5a839c8d75817450eb50e3.html)",Expense
Rent,Bank Account (Finance%20Tracker/Databases/Accounts%20&%20Funds/Bank%20Account%20d898f5191d5a83a7b51a01733b92330f.html),"$1,500.00","-$1,500.00",Rent/Mortgage (Finance%20Tracker/Databases/Transaction%20Categories/Rent%20Mortgage%201fc8f5191d5a823c8f7b010e7c3dd97a.html),No,"November 1, 2024","February (Finance%20Tracker/Databases/Months/February%209c78f5191d5a8376ba1a8173d8b424d0.html), October (Finance%20Tracker/Databases/Months/October%2089d8f5191d5a83a681ca8173cf558207.html), March (Finance%20Tracker/Databases/Months/March%20ae58f5191d5a8227a7fa015765b3e232.html), January (Finance%20Tracker/Databases/Months/January%204978f5191d5a83d9a2b281b2e55d49bb.html), July (Finance%20Tracker/Databases/Months/July%20c2d8f5191d5a8353b707813acc1b0c2b.html), November (Finance%20Tracker/Databases/Months/November%20fbc8f5191d5a821d8adf814729dfc04f.html), April (Finance%20Tracker/Databases/Months/April%20d658f5191d5a8270ab5b81005c5d50da.html), August (Finance%20Tracker/Databases/Months/August%20ee78f5191d5a8379af15815575a81ff9.html), December (Finance%20Tracker/Databases/Months/December%20b3e8f5191d5a8357be2001a5d4ae94b2.html), September (Finance%20Tracker/Databases/Months/September%20c328f5191d5a838ba4e9819f02e13cf6.html), May (Finance%20Tracker/Databases/Months/May%208ff8f5191d5a83528280810e2ebe050d.html), June (Finance%20Tracker/Databases/Months/June%20a128f5191d5a839c8d75817450eb50e3.html)",Expense
Salary,Bank Account (Finance%20Tracker/Databases/Accounts%20&%20Funds/Bank%20Account%20d898f5191d5a83a7b51a01733b92330f.html),"$5,500.00","$5,500.00",Salary (Finance%20Tracker/Databases/Transaction%20Categories/Salary%206eb8f5191d5a83b5bca6816caecfc8fd.html),No,"January 15, 2025","February (Finance%20Tracker/Databases/Months/February%209c78f5191d5a8376ba1a8173d8b424d0.html), October (Finance%20Tracker/Databases/Months/October%2089d8f5191d5a83a681ca8173cf558207.html), March (Finance%20Tracker/Databases/Months/March%20ae58f5191d5a8227a7fa015765b3e232.html), January (Finance%20Tracker/Databases/Months/January%204978f5191d5a83d9a2b281b2e55d49bb.html), July (Finance%20Tracker/Databases/Months/July%20c2d8f5191d5a8353b707813acc1b0c2b.html), November (Finance%20Tracker/Databases/Months/November%20fbc8f5191d5a821d8adf814729dfc04f.html), April (Finance%20Tracker/Databases/Months/April%20d658f5191d5a8270ab5b81005c5d50da.html), August (Finance%20Tracker/Databases/Months/August%20ee78f5191d5a8379af15815575a81ff9.html), December (Finance%20Tracker/Databases/Months/December%20b3e8f5191d5a8357be2001a5d4ae94b2.html), September (Finance%20Tracker/Databases/Months/September%20c328f5191d5a838ba4e9819f02e13cf6.html), May (Finance%20Tracker/Databases/Months/May%208ff8f5191d5a83528280810e2ebe050d.html), June (Finance%20Tracker/Databases/Months/June%20a128f5191d5a839c8d75817450eb50e3.html)",Income
Bonus,Bank Account (Finance%20Tracker/Databases/Accounts%20&%20Funds/Bank%20Account%20d898f5191d5a83a7b51a01733b92330f.html),"$10,000.00","$10,000.00",Bonuses & Commissions (Finance%20Tracker/Databases/Transaction%20Categories/Bonuses%20&%20Commissions%206488f5191d5a82f1ba2a8123e2facf8a.html),No,"February 7, 2025","February (Finance%20Tracker/Databases/Months/February%209c78f5191d5a8376ba1a8173d8b424d0.html), October (Finance%20Tracker/Databases/Months/October%2089d8f5191d5a83a681ca8173cf558207.html), March (Finance%20Tracker/Databases/Months/March%20ae58f5191d5a8227a7fa015765b3e232.html), January (Finance%20Tracker/Databases/Months/January%204978f5191d5a83d9a2b281b2e55d49bb.html), July (Finance%20Tracker/Databases/Months/July%20c2d8f5191d5a8353b707813acc1b0c2b.html), November (Finance%20Tracker/Databases/Months/November%20fbc8f5191d5a821d8adf814729dfc04f.html), April (Finance%20Tracker/Databases/Months/April%20d658f5191d5a8270ab5b81005c5d50da.html), August (Finance%20Tracker/Databases/Months/August%20ee78f5191d5a8379af15815575a81ff9.html), December (Finance%20Tracker/Databases/Months/December%20b3e8f5191d5a8357be2001a5d4ae94b2.html), September (Finance%20Tracker/Databases/Months/September%20c328f5191d5a838ba4e9819f02e13cf6.html), May (Finance%20Tracker/Databases/Months/May%208ff8f5191d5a83528280810e2ebe050d.html), June (Finance%20Tracker/Databases/Months/June%20a128f5191d5a839c8d75817450eb50e3.html)",Income
Rent,Bank Account (Finance%20Tracker/Databases/Accounts%20&%20Funds/Bank%20Account%20d898f5191d5a83a7b51a01733b92330f.html),"$1,500.00","-$1,500.00",Rent/Mortgage (Finance%20Tracker/Databases/Transaction%20Categories/Rent%20Mortgage%201fc8f5191d5a823c8f7b010e7c3dd97a.html),No,"February 1, 2025","February (Finance%20Tracker/Databases/Months/February%209c78f5191d5a8376ba1a8173d8b424d0.html), October (Finance%20Tracker/Databases/Months/October%2089d8f5191d5a83a681ca8173cf558207.html), March (Finance%20Tracker/Databases/Months/March%20ae58f5191d5a8227a7fa015765b3e232.html), January (Finance%20Tracker/Databases/Months/January%204978f5191d5a83d9a2b281b2e55d49bb.html), July (Finance%20Tracker/Databases/Months/July%20c2d8f5191d5a8353b707813acc1b0c2b.html), November (Finance%20Tracker/Databases/Months/November%20fbc8f5191d5a821d8adf814729dfc04f.html), April (Finance%20Tracker/Databases/Months/April%20d658f5191d5a8270ab5b81005c5d50da.html), August (Finance%20Tracker/Databases/Months/August%20ee78f5191d5a8379af15815575a81ff9.html), December (Finance%20Tracker/Databases/Months/December%20b3e8f5191d5a8357be2001a5d4ae94b2.html), September (Finance%20Tracker/Databases/Months/September%20c328f5191d5a838ba4e9819f02e13cf6.html), May (Finance%20Tracker/Databases/Months/May%208ff8f5191d5a83528280810e2ebe050d.html), June (Finance%20Tracker/Databases/Months/June%20a128f5191d5a839c8d75817450eb50e3.html)",Expense
Rent,Bank Account (Finance%20Tracker/Databases/Accounts%20&%20Funds/Bank%20Account%20d898f5191d5a83a7b51a01733b92330f.html),"$1,500.00","-$1,500.00",Rent/Mortgage (Finance%20Tracker/Databases/Transaction%20Categories/Rent%20Mortgage%201fc8f5191d5a823c8f7b010e7c3dd97a.html),No,"December 1, 2024","February (Finance%20Tracker/Databases/Months/February%209c78f5191d5a8376ba1a8173d8b424d0.html), October (Finance%20Tracker/Databases/Months/October%2089d8f5191d5a83a681ca8173cf558207.html), March (Finance%20Tracker/Databases/Months/March%20ae58f5191d5a8227a7fa015765b3e232.html), January (Finance%20Tracker/Databases/Months/January%204978f5191d5a83d9a2b281b2e55d49bb.html), July (Finance%20Tracker/Databases/Months/July%20c2d8f5191d5a8353b707813acc1b0c2b.html), November (Finance%20Tracker/Databases/Months/November%20fbc8f5191d5a821d8adf814729dfc04f.html), April (Finance%20Tracker/Databases/Months/April%20d658f5191d5a8270ab5b81005c5d50da.html), August (Finance%20Tracker/Databases/Months/August%20ee78f5191d5a8379af15815575a81ff9.html), December (Finance%20Tracker/Databases/Months/December%20b3e8f5191d5a8357be2001a5d4ae94b2.html), September (Finance%20Tracker/Databases/Months/September%20c328f5191d5a838ba4e9819f02e13cf6.html), May (Finance%20Tracker/Databases/Months/May%208ff8f5191d5a83528280810e2ebe050d.html), June (Finance%20Tracker/Databases/Months/June%20a128f5191d5a839c8d75817450eb50e3.html)",Expense
New Income,,,,,No,"February 21, 2025","January (Finance%20Tracker/Databases/Months/January%204978f5191d5a83d9a2b281b2e55d49bb.html), June (Finance%20Tracker/Databases/Months/June%20a128f5191d5a839c8d75817450eb50e3.html), May (Finance%20Tracker/Databases/Months/May%208ff8f5191d5a83528280810e2ebe050d.html), September (Finance%20Tracker/Databases/Months/September%20c328f5191d5a838ba4e9819f02e13cf6.html), December (Finance%20Tracker/Databases/Months/December%20b3e8f5191d5a8357be2001a5d4ae94b2.html), February (Finance%20Tracker/Databases/Months/February%209c78f5191d5a8376ba1a8173d8b424d0.html), October (Finance%20Tracker/Databases/Months/October%2089d8f5191d5a83a681ca8173cf558207.html), March (Finance%20Tracker/Databases/Months/March%20ae58f5191d5a8227a7fa015765b3e232.html), August (Finance%20Tracker/Databases/Months/August%20ee78f5191d5a8379af15815575a81ff9.html), April (Finance%20Tracker/Databases/Months/April%20d658f5191d5a8270ab5b81005c5d50da.html), November (Finance%20Tracker/Databases/Months/November%20fbc8f5191d5a821d8adf814729dfc04f.html), July (Finance%20Tracker/Databases/Months/July%20c2d8f5191d5a8353b707813acc1b0c2b.html)",Income